Name,Department,CGPA,Contact Number,College Email,B.Tech Score,Interest Area
Jason Allen,IT,10,7223409947,jason71@college.edu,51,Data Science
Mackenzie Sanchez,CE,10,6747525200,mackenzie16@college.edu,65,Data Science
Gary Daniels,CE,8,8098313186,gary89@college.edu,62,IoT
Cassie Nguyen,CSE,9,9380134521,cassie44@college.edu,99,AI
Steven Davis,ME,7,6825444185,steven99@college.edu,76,AI
Mrs. Jasmine Lozano,CE,9,9443652387,mrs.92@college.edu,51,Cloud Computing
Adam Gonzalez,IT,6,6793920547,adam23@college.edu,64,IoT
Elizabeth Miller,ECE,6,6905502794,elizabeth47@college.edu,60,AI
Jamie Khan,CSE,7,7500669305,jamie38@college.edu,51,ML
Ronnie Parrish,CSE,10,7339023628,ronnie59@college.edu,95,Cybersecurity
Anthony Deleon,IT,8,8016271732,anthony65@college.edu,96,Data Science
Brittany Hudson,ECE,6,9973684714,brittany98@college.edu,54,Cybersecurity
Patricia Morales,CE,10,6033801674,patricia43@college.edu,64,AI
David Johnson,IT,7,6270813331,david78@college.edu,76,AI
Janet Peters,ECE,6,8528737872,janet28@college.edu,68,Cloud Computing
Susan Harper,ECE,6,6844065840,susan39@college.edu,80,IoT
Valerie Perry,IT,8,8219517498,valerie48@college.edu,52,ML
Elaine Hill,ME,8,7487397714,elaine28@college.edu,99,Cloud Computing
William Ramirez,CSE,8,8139853972,william65@college.edu,75,AI
Lisa Jones,IT,8,9596101974,lisa78@college.edu,85,ML
Seth Wilson,CSE,10,6460531972,seth53@college.edu,82,Cloud Computing
Daniel Wilson,CSE,7,7219781530,daniel63@college.edu,96,AI
Stephanie Jennings,IT,7,7213993761,stephanie54@college.edu,98,Cloud Computing
Jon Brown,CSE,6,8501648811,jon87@college.edu,83,Data Science
Mark Casey,ME,7,6742410812,mark60@college.edu,69,AI
Tammy Oliver,IT,10,8074268343,tammy70@college.edu,86,AI
Patricia Sawyer,IT,10,8204743344,patricia74@college.edu,70,AI
Jeffery Kline,CSE,6,9514688347,jeffery93@college.edu,83,AI
Michael Romero,IT,10,8755018253,michael14@college.edu,94,AI
Abigail Rodgers,IT,10,6693788802,abigail66@college.edu,85,IoT
Emily Shaw,ECE,6,7125093850,emily37@college.edu,90,Cybersecurity
Susan Warren,CE,8,6470598187,susan21@college.edu,55,IoT
Tony Brennan,CE,8,6186839701,tony60@college.edu,79,IoT
Brian Lara,IT,9,9741825757,brian98@college.edu,63,Cybersecurity
Lindsey Alexander,ME,9,9922247506,lindsey27@college.edu,62,Cybersecurity
Mark Walker,ECE,9,7698515512,mark40@college.edu,79,ML
Tina Donovan,CSE,7,9200697719,tina25@college.edu,57,Cloud Computing
Kimberly Mendez,IT,8,8501613331,kimberly98@college.edu,99,Cloud Computing
Elizabeth Schultz,ECE,10,7235934944,elizabeth38@college.edu,56,Data Science
Bryan Ross,CE,6,9051718607,bryan44@college.edu,74,IoT
Kayla Norris,IT,9,7709529537,kayla63@college.edu,80,AI
Brett Ramos,CE,8,7326966939,brett14@college.edu,90,ML
Hannah Holmes,IT,7,6522920215,hannah94@college.edu,71,Data Science
Madison Hernandez,IT,8,7721005670,madison68@college.edu,82,IoT
Christopher Estes,ECE,8,9715019749,christopher45@college.edu,58,ML
Joseph Castillo,IT,8,9132655546,joseph11@college.edu,98,ML
Jason Smith,CE,10,6221692983,jason54@college.edu,66,Data Science
Joseph Johnson,CE,7,8445840235,joseph87@college.edu,51,IoT
Nancy Nicholson,IT,7,9990051088,nancy14@college.edu,81,Data Science
John Lambert,CSE,6,9123351022,john88@college.edu,68,ML
Stephanie Gibson,ME,8,7633261551,stephanie30@college.edu,54,Data Science
Brian Carter,CE,10,6208219982,brian48@college.edu,61,Data Science
Anthony Moore,ECE,9,8732301974,anthony64@college.edu,77,AI
Kevin Hall,ECE,6,9216383841,kevin44@college.edu,52,Cybersecurity
Ralph Bishop,CSE,7,9901064267,ralph18@college.edu,96,Cybersecurity
Eric Case,ECE,10,7140137810,eric15@college.edu,70,Cloud Computing
Aaron Erickson,CSE,6,6367584856,aaron93@college.edu,69,Cloud Computing
Christopher Turner,ECE,9,7867472986,christopher53@college.edu,91,IoT
Kayla Nash,IT,10,7002194696,kayla53@college.edu,65,Cybersecurity
Brian Shelton,ECE,9,6505560930,brian61@college.edu,96,AI
Breanna Harrington,CE,6,6937752198,breanna89@college.edu,94,Data Science
Patricia Rowe,CSE,8,6386051698,patricia54@college.edu,59,IoT
Mary White,IT,8,6707701890,mary53@college.edu,50,Cloud Computing
Marie Henderson,CE,10,8270254375,marie84@college.edu,66,Cloud Computing
Russell Miller,ME,10,6098866604,russell78@college.edu,56,AI
Raymond Hardy,IT,9,9877624055,raymond18@college.edu,60,Cloud Computing
Charles Reed,IT,8,8137697996,charles87@college.edu,60,IoT
Michael Miles,ECE,6,7999097314,michael53@college.edu,58,IoT
Hannah Chaney,CE,7,7659232029,hannah87@college.edu,63,ML
Victoria Lee,CE,10,9364264780,victoria35@college.edu,77,Data Science
Bradley Hayes,ME,6,7764167825,bradley97@college.edu,100,ML
Kristy Romero,IT,6,8736238081,kristy57@college.edu,93,AI
Joanne Olson,IT,6,8130208283,joanne62@college.edu,83,Data Science
Samantha Franco,ECE,7,7109370910,samantha63@college.edu,61,ML
Dr. Timothy Tran,IT,7,7603519118,dr.24@college.edu,92,Data Science
Tony Davis,CSE,8,9629165935,tony28@college.edu,50,ML
Christine Moore,CSE,9,8820443689,christine24@college.edu,96,Cybersecurity
Ashley James,ME,9,8238337712,ashley41@college.edu,73,Cybersecurity
Nicholas Stevens,ME,8,9078150053,nicholas70@college.edu,58,Data Science
Cody Boyd,IT,10,8164731825,cody47@college.edu,52,Cybersecurity
Amanda Chandler,ME,10,6840717208,amanda15@college.edu,69,ML
Jordan Cummings,ECE,6,7364809027,jordan73@college.edu,71,Cloud Computing
Jessica Holmes,ME,6,7939483476,jessica91@college.edu,69,IoT
Holly Todd,ECE,7,9757404022,holly37@college.edu,73,Cybersecurity
Brian Brooks,IT,10,8295846735,brian41@college.edu,89,Cybersecurity
Gary Wyatt,IT,7,8831167311,gary85@college.edu,54,IoT
Sherry Shaffer,ECE,7,8546948434,sherry56@college.edu,73,IoT
Tanya Myers,ECE,6,7543151858,tanya53@college.edu,59,Data Science
John Padilla,CSE,6,8858698897,john54@college.edu,85,Cybersecurity
Charles Welch,CE,8,6198150604,charles36@college.edu,64,AI
Gary Olsen,IT,7,6358187654,gary55@college.edu,53,AI
Jose Wilson,CSE,9,8727018516,jose40@college.edu,96,IoT
Martin Stewart,CSE,8,6246748837,martin27@college.edu,97,ML
Beth Green,CSE,6,6766866090,beth52@college.edu,90,IoT
Courtney Reed,CE,7,6567860087,courtney81@college.edu,96,AI
Randall Becker,IT,7,8519926806,randall46@college.edu,84,ML
Carrie Gilbert,CE,7,9148131369,carrie87@college.edu,58,ML
Christina Cox,ECE,7,7513238879,christina64@college.edu,87,Data Science
William Jones,ME,10,8433737210,william33@college.edu,99,Cloud Computing
Michael Cunningham,IT,6,6812397089,michael57@college.edu,81,Cybersecurity
Valerie Brown,CSE,9,8490517664,valerie16@college.edu,52,Data Science
Michelle Thompson,ME,7,9763251434,michelle91@college.edu,80,IoT
Anna Hines,ME,9,9469304927,anna88@college.edu,74,Cloud Computing
Lee Ramos,CSE,9,6187164293,lee15@college.edu,50,AI
Shawn Maldonado,IT,8,7608656465,shawn13@college.edu,59,IoT
Ruth Harvey,CSE,9,8722087714,ruth12@college.edu,100,Cloud Computing
Timothy Barnes,CE,6,7458909729,timothy28@college.edu,85,ML
Dawn Zhang,CSE,9,7916308876,dawn99@college.edu,80,Cybersecurity
Philip Gill,IT,6,9747548833,philip31@college.edu,71,ML
Stephen Woods,ECE,10,6740217319,stephen93@college.edu,96,IoT
Morgan Smith,CSE,7,7479092880,morgan70@college.edu,53,AI
James Mendez,ECE,7,6760719337,james45@college.edu,98,Cybersecurity
Jenny Nelson,ECE,10,9621888807,jenny73@college.edu,74,Cybersecurity
Kristina Rodriguez,IT,10,8184221063,kristina81@college.edu,84,AI
Molly Bell,IT,8,8269074261,molly81@college.edu,98,Data Science
Christian Turner,IT,6,9645543593,christian58@college.edu,72,Cybersecurity
Colton Solomon,CSE,6,6888105245,colton86@college.edu,86,IoT
Rodney Sullivan,ECE,10,9003768885,rodney64@college.edu,84,IoT
Jessica Padilla,CSE,7,6456372855,jessica97@college.edu,61,ML
Cynthia Burns,CE,7,6382399708,cynthia65@college.edu,57,ML
Mr. Scott Hamilton MD,IT,8,9625800369,mr.21@college.edu,82,Data Science
Garrett Mullen,ECE,6,9268454680,garrett65@college.edu,63,ML
Megan Carlson,CSE,6,9997155843,megan10@college.edu,85,AI
Joshua Morrison,CSE,8,9879882604,joshua76@college.edu,100,IoT
Sean Gonzalez,CE,10,8216460107,sean42@college.edu,90,ML
Sarah Wilson,IT,6,8130437066,sarah43@college.edu,73,IoT
Michael Reyes,IT,10,8188889012,michael20@college.edu,66,Data Science
Vicki Munoz,ECE,9,9211764008,vicki20@college.edu,94,IoT
Jeffery Hoffman,ME,6,6874714199,jeffery90@college.edu,77,Cybersecurity
Christine Patterson,ECE,7,7223718224,christine56@college.edu,65,AI
Kimberly Howard,IT,6,7025951780,kimberly86@college.edu,65,AI
Luis Wallace,CSE,10,8808162009,luis34@college.edu,62,Cybersecurity
Wendy Morgan,ECE,9,8729587442,wendy52@college.edu,94,Data Science
Carlos Dawson,CE,9,9106984377,carlos57@college.edu,91,ML
Jesse Taylor,ECE,7,9144648444,jesse47@college.edu,98,IoT
Angela Dean,CSE,7,6546145434,angela26@college.edu,61,Cloud Computing
Christina Lang,ME,8,7257995678,christina56@college.edu,93,AI
Mr. Todd Wilson,CSE,6,6434103618,mr.50@college.edu,79,Data Science
Cheryl Welch,ME,7,9042257388,cheryl50@college.edu,80,AI
Krystal Oneill,ME,6,8201183818,krystal43@college.edu,50,AI
Ivan Wang,ECE,9,7010516178,ivan86@college.edu,81,AI
Amber Hubbard,ECE,8,9839613575,amber85@college.edu,55,IoT
Amanda Knox,ECE,6,7667783969,amanda41@college.edu,58,ML
Joseph Jimenez,ME,6,9878646835,joseph61@college.edu,83,IoT
Daniel Miller,ME,10,9031355244,daniel13@college.edu,56,Data Science
Keith Aguilar,IT,7,8864719218,keith49@college.edu,86,Cloud Computing
Mr. Frank Reese,IT,10,6370549311,mr.57@college.edu,91,AI
Christopher Smith,IT,10,6287470379,christopher73@college.edu,99,ML
Jonathon Cooper,ME,6,8708093474,jonathon12@college.edu,77,IoT
Kent Olson,IT,10,7832214234,kent16@college.edu,86,Data Science
Ricky Goodwin,ME,10,7090153732,ricky92@college.edu,89,Data Science
Kristopher Ruiz,ECE,6,9018577596,kristopher99@college.edu,74,IoT
Melissa Moyer,ECE,7,8973087879,melissa46@college.edu,50,AI
Yvonne Huynh,CSE,6,8826202656,yvonne32@college.edu,61,Data Science
Charles Shea,ME,8,9079858985,charles31@college.edu,53,IoT
Tamara Saunders,CSE,6,8061679172,tamara79@college.edu,79,Cloud Computing
Trevor Young,ME,7,6960847830,trevor58@college.edu,82,Cloud Computing
Kelly Dunn,ME,8,7657014764,kelly32@college.edu,81,Cybersecurity
Daniel Juarez,ECE,7,9819765891,daniel80@college.edu,65,Cybersecurity
Beth Jennings,CSE,9,6793991352,beth14@college.edu,90,Cloud Computing
Andrea Wiley,ECE,10,7602536371,andrea59@college.edu,52,ML
Matthew Meadows,CE,10,6279057407,matthew96@college.edu,85,ML
Regina Hodges,ME,10,6542503990,regina74@college.edu,59,Data Science
Nicole Melendez,CE,7,6146976599,nicole60@college.edu,54,Cybersecurity
Jessica Torres,IT,7,7996897208,jessica92@college.edu,97,AI
Patrick Hunter,ME,7,8366390164,patrick28@college.edu,57,AI
Jason Lawson,CE,6,8216706540,jason99@college.edu,68,Cloud Computing
Mr. Eric Bryan,ME,10,6949382535,mr.72@college.edu,87,Data Science
Maria Rogers,IT,6,8114615014,maria87@college.edu,50,IoT
Gregg Wilkerson,ME,9,7305852745,gregg88@college.edu,62,Data Science
Miranda Thompson,ECE,10,7597186622,miranda60@college.edu,61,ML
Zachary Robinson,CE,6,6353252832,zachary74@college.edu,82,IoT
Samuel Powell,ME,10,7972259010,samuel70@college.edu,85,Cloud Computing
Carlos Pierce,CE,7,6890502307,carlos27@college.edu,52,Data Science
Deborah Rodriguez,ME,9,8992637643,deborah48@college.edu,56,Cloud Computing
Jodi Hunter,CE,8,9540606109,jodi73@college.edu,68,Data Science
Christopher Schneider,IT,8,9049480505,christopher43@college.edu,91,Cloud Computing
Michaela Garcia,CSE,9,8630122734,michaela65@college.edu,82,ML
Angela Sharp,ME,8,9446769300,angela76@college.edu,56,AI
Scott Young,CSE,9,7494480479,scott87@college.edu,87,Cybersecurity
Bruce Bailey,CSE,10,6605645421,bruce31@college.edu,79,Cybersecurity
Robert Lopez,ME,6,9232350524,robert28@college.edu,97,Cybersecurity
Linda Miller,CSE,7,7367700430,linda61@college.edu,51,Cloud Computing
Gwendolyn Fernandez,ECE,8,9301830990,gwendolyn52@college.edu,100,Cloud Computing
Rodney Underwood,ECE,6,9032443648,rodney83@college.edu,76,Cloud Computing
Timothy Barrett,CE,9,7722689804,timothy38@college.edu,70,ML
Kathryn Johnson,IT,8,6478894470,kathryn87@college.edu,75,Cloud Computing
Angela Jones,IT,9,7624073088,angela86@college.edu,80,Cybersecurity
David Duran,CSE,8,9040691833,david82@college.edu,64,Data Science
Mary Lucero,ME,8,8902173951,mary64@college.edu,78,Cloud Computing
Valerie Green,ECE,6,8166504400,valerie30@college.edu,100,ML
Jesse Dawson,CSE,8,7925098380,jesse85@college.edu,100,Cloud Computing
Hannah Ayala,ME,6,8042012714,hannah21@college.edu,96,Cloud Computing
Brandi Davis,ME,9,6128906152,brandi41@college.edu,89,Data Science
Misty Cox,ME,6,8297174150,misty55@college.edu,52,Cybersecurity
Tiffany Smith,ME,7,8181181029,tiffany57@college.edu,87,Data Science
Jessica Meyer,CSE,9,8386908658,jessica81@college.edu,63,Cloud Computing
Jason Murray,CE,8,8676227468,jason27@college.edu,89,AI
Lisa Macias,CE,7,8069683231,lisa22@college.edu,94,AI
Amber Salazar,IT,8,6744588726,amber34@college.edu,85,AI
Kevin Petty,CE,8,8314077083,kevin31@college.edu,92,ML
Melissa White,ME,7,9856522167,melissa11@college.edu,92,Cybersecurity
Courtney Lopez,ECE,8,7257240203,courtney77@college.edu,68,IoT
Cindy Jones,CE,9,7241698766,cindy11@college.edu,73,ML
Katrina Dodson,ME,7,9908552307,katrina55@college.edu,55,Data Science
Jessica Collins,IT,9,6588254557,jessica45@college.edu,64,ML
Johnathan Kemp,CE,7,8793915271,johnathan76@college.edu,95,Cloud Computing
Gabrielle Garcia,CE,6,9012951919,gabrielle50@college.edu,96,Cloud Computing
Charles Garza,IT,9,8016363840,charles37@college.edu,72,ML
Tara Evans,CE,10,8175724698,tara72@college.edu,63,IoT
Caleb Johnson,CE,10,8248531095,caleb54@college.edu,97,Cloud Computing
Dr. Jesus Potter,ME,7,6760240701,dr.60@college.edu,69,Cybersecurity
Brittney Roach,IT,7,8718113246,brittney61@college.edu,91,Cybersecurity
Victoria Miller,ME,8,9130998039,victoria70@college.edu,77,Cloud Computing
Amy Harvey,ME,10,8235116353,amy39@college.edu,65,Cybersecurity
Caitlin Sherman,CSE,8,7152858133,caitlin21@college.edu,59,Cybersecurity
Jody Pittman,CE,8,7262796268,jody53@college.edu,62,ML
John Foster,CSE,10,6708196313,john45@college.edu,89,ML
Jennifer Perez,CE,10,6284439371,jennifer10@college.edu,90,Data Science
Benjamin Bender,IT,6,9174635841,benjamin83@college.edu,84,Data Science
Debra Lee,CE,10,6641873515,debra98@college.edu,56,Cybersecurity
Kristy Jennings,ECE,9,9818201431,kristy95@college.edu,76,AI
Kristi Simmons,CE,6,6461382807,kristi96@college.edu,69,Cloud Computing
Allison Anderson,ME,7,6156568460,allison74@college.edu,59,ML
Erin Hayes,ECE,7,7488578082,erin76@college.edu,79,Data Science
James Jones,ECE,10,7556544516,james67@college.edu,65,Cloud Computing
Nicole Williams,ECE,10,9162241716,nicole88@college.edu,63,IoT
Sara Burke,ME,10,9516713737,sara69@college.edu,74,ML
Ryan Davis,ECE,7,8254064199,ryan47@college.edu,94,Data Science
Mary Wilson,ME,10,7645148600,mary79@college.edu,96,Cybersecurity
Sydney Woods,CE,8,9151767906,sydney49@college.edu,51,Cybersecurity
Mrs. Mary Rivera,IT,9,8664094240,mrs.50@college.edu,73,AI
Sandra Harris,CE,9,6654446848,sandra10@college.edu,69,Cloud Computing
Daniel Wagner,ME,8,7548948862,daniel17@college.edu,96,IoT
Crystal Harrison MD,ME,9,7840447314,crystal98@college.edu,100,IoT
Jennifer Mcdaniel,ECE,8,9286581134,jennifer23@college.edu,69,IoT
Vanessa Wood,IT,8,8228292863,vanessa39@college.edu,64,ML
Amy Gomez,ME,10,8598069767,amy37@college.edu,56,ML
Madison Sullivan,ECE,7,8056511603,madison24@college.edu,66,ML
Lauren Blackburn PhD,CE,7,6202697376,lauren11@college.edu,58,IoT
Jennifer Moore,IT,6,7314606363,jennifer50@college.edu,55,ML
Natalie Johnson,CSE,9,8321562497,natalie67@college.edu,92,IoT
Emily Spence,CE,6,8527574267,emily90@college.edu,64,Data Science
Brenda Brandt,ECE,8,7843985289,brenda21@college.edu,58,Cybersecurity
Margaret White,CE,9,9808014417,margaret44@college.edu,73,AI
Joseph Mcdonald,ME,8,6690630778,joseph11@college.edu,67,Data Science
Alejandro Christian,ME,10,9243573315,alejandro69@college.edu,69,Data Science
Megan Smith,CE,10,9605082333,megan45@college.edu,88,IoT
Taylor Kane,IT,6,8465767835,taylor91@college.edu,58,ML
Elizabeth Garcia,ME,7,7272739323,elizabeth88@college.edu,63,Cloud Computing
Brian Frazier,CE,6,8791458903,brian45@college.edu,52,Data Science
Amanda Brooks,ME,8,7625750057,amanda77@college.edu,66,Cybersecurity
Oscar Yu,CSE,6,8642540496,oscar69@college.edu,74,Data Science
Charles Rogers,ME,7,9407123500,charles53@college.edu,87,AI
Brad Spencer,CE,8,6010857863,brad69@college.edu,77,Data Science
Michael Jackson,ECE,10,8127816108,michael42@college.edu,84,ML
Jill Taylor,CE,8,7653882052,jill74@college.edu,50,Cybersecurity
Kim Sherman,ME,8,9151108614,kim41@college.edu,61,AI
Bryan Vaughn,CSE,7,8392359602,bryan85@college.edu,95,AI
Wyatt Strong,CE,8,8818220531,wyatt51@college.edu,54,Cloud Computing
Elizabeth Griffin,CE,9,6500649302,elizabeth87@college.edu,59,Data Science
Jessica Anderson,ECE,9,7460808518,jessica15@college.edu,69,ML
Barbara Hobbs,ECE,10,8045005752,barbara80@college.edu,59,AI
Rodney Hawkins,CE,7,7267708223,rodney51@college.edu,92,IoT
Angela Brown,IT,10,7132861429,angela50@college.edu,89,Cloud Computing
Austin Mccormick,CSE,10,8613662065,austin93@college.edu,67,Cybersecurity
Daniel Franklin,ECE,7,6914629107,daniel39@college.edu,75,AI
Calvin Harris,CSE,8,9503470316,calvin65@college.edu,83,Data Science
Jeremy Dunn,ECE,10,6503607407,jeremy92@college.edu,100,Data Science
Jordan Thompson DVM,CE,7,9099168498,jordan77@college.edu,79,Cloud Computing
Austin Mcdonald,ME,7,8198617256,austin75@college.edu,63,Data Science
Kimberly Walker,ME,10,7102721902,kimberly44@college.edu,90,Cloud Computing
Aaron Ramirez,IT,6,8700412862,aaron22@college.edu,51,Data Science
Cheryl Martin,IT,10,6296465632,cheryl18@college.edu,69,Cybersecurity
Tara Young,CE,9,9831421716,tara39@college.edu,98,Data Science
Virginia Fisher,CSE,8,7281263483,virginia95@college.edu,83,Cybersecurity
Anna Fitzgerald,CE,6,8320992158,anna66@college.edu,65,IoT
Susan Graham,CSE,8,7101947007,susan83@college.edu,75,Cybersecurity
Tonya Parker,ECE,10,7911678975,tonya55@college.edu,86,Data Science
Kathleen Johnson,ECE,9,8937430666,kathleen37@college.edu,90,ML
Christy Campbell,CSE,10,9804190536,christy36@college.edu,85,Cloud Computing
Roger Lowery,CSE,6,7115539057,roger40@college.edu,68,Cybersecurity
Eric Avila,ECE,6,9314700975,eric41@college.edu,99,Cybersecurity
Holly Rodriguez,CSE,10,8067708832,holly79@college.edu,56,Data Science
Douglas Lopez,CSE,6,6135798783,douglas88@college.edu,58,Cloud Computing
Nicole Hobbs,IT,10,6961643030,nicole39@college.edu,98,Cloud Computing
Dawn Sullivan,CSE,6,8452858875,dawn95@college.edu,91,Cybersecurity
Anthony Hartman,CE,9,7053194263,anthony36@college.edu,56,Data Science
Blake Bell,ME,8,9646045984,blake88@college.edu,75,AI
Chelsea Townsend,CE,10,7744871169,chelsea14@college.edu,53,ML
Virginia Henderson,ECE,10,9409636240,virginia37@college.edu,68,IoT
William Schneider,CE,7,8343013614,william29@college.edu,50,Cybersecurity
Mrs. Kayla Ramos,IT,7,6135211753,mrs.72@college.edu,96,AI
Drew Key,IT,8,7664452043,drew87@college.edu,97,Data Science
Lori Myers,ME,9,9509123356,lori70@college.edu,52,Cybersecurity
Laura Huff,ME,8,9471873795,laura34@college.edu,99,ML
Michael Thomas MD,IT,9,7102167870,michael66@college.edu,79,Cloud Computing
George Myers,IT,8,6668731077,george47@college.edu,53,Cloud Computing
Jared Vance,CE,8,7131792543,jared56@college.edu,71,Cloud Computing
Kyle Lopez,CE,7,9914520768,kyle10@college.edu,100,Data Science
David Carr,CSE,9,8042683120,david64@college.edu,62,Cybersecurity
Luke Moon,CSE,6,7502027819,luke26@college.edu,75,IoT
James Nunez,CE,10,9485537097,james84@college.edu,96,IoT
Robert Johnson,IT,9,7700604125,robert65@college.edu,98,AI
Patricia Lang,ECE,8,6173944197,patricia80@college.edu,54,IoT
Steven Williams,IT,7,7767867783,steven19@college.edu,59,AI
Jessica Clarke,IT,6,6719874054,jessica18@college.edu,64,Data Science
Zachary Guzman,CE,10,6971570861,zachary65@college.edu,80,Cybersecurity
Erin Jacobs,ME,8,6009756204,erin85@college.edu,81,Cybersecurity
Kathryn Jackson DDS,ME,10,6237529448,kathryn69@college.edu,91,Cybersecurity
David Huerta,CSE,6,8785464043,david35@college.edu,74,Cloud Computing
Cynthia Adams,CSE,8,9355787538,cynthia82@college.edu,100,Cybersecurity
Elizabeth Richmond,ECE,6,7817846178,elizabeth10@college.edu,82,Cloud Computing
Jessica Roth,ME,8,8569347996,jessica98@college.edu,64,Cloud Computing
Robert Herrera,IT,9,9024126467,robert63@college.edu,56,AI
Felicia Robinson,ECE,6,7890811902,felicia69@college.edu,61,Data Science
Linda Vega,ECE,6,6260865767,linda10@college.edu,98,IoT
Benjamin Young,ME,7,8095722916,benjamin43@college.edu,77,IoT
Alexis Gray,CE,9,9009398024,alexis21@college.edu,59,Cloud Computing
Michael Wright,ME,10,6664902864,michael72@college.edu,54,Data Science
Robert Wang,ME,8,8848567223,robert62@college.edu,78,Data Science
Jacob Bruce,CE,8,9070953536,jacob75@college.edu,97,IoT
James Smith,ECE,9,7034888389,james76@college.edu,58,ML
Erik Douglas,IT,10,9179659536,erik16@college.edu,95,Cloud Computing
Hunter Bishop DVM,CE,8,6971751677,hunter41@college.edu,96,Data Science
Julia Nelson,CSE,7,7595704774,julia49@college.edu,66,IoT
Kelli Taylor,ME,7,8416586256,kelli55@college.edu,93,Cybersecurity
Christie Henry,CSE,10,7577579347,christie36@college.edu,55,AI
Adam Morton,CE,8,8071590345,adam11@college.edu,73,Cloud Computing
Elizabeth Olson,IT,9,6523478602,elizabeth23@college.edu,77,Cloud Computing
Nichole Wilson,IT,6,8602153504,nichole91@college.edu,94,Cloud Computing
Marcus Callahan,IT,6,7403827963,marcus83@college.edu,85,ML
Jessica Page,ME,10,7725100185,jessica45@college.edu,86,ML
Joshua Taylor,ECE,10,6532118242,joshua62@college.edu,88,IoT
Brian Mills,CE,8,6139417621,brian98@college.edu,61,Cybersecurity
Darrell Anderson,IT,7,7197622642,darrell90@college.edu,70,Data Science
William Hansen,ECE,7,8765797301,william41@college.edu,61,Data Science
Abigail Fitzgerald,CSE,8,8323412722,abigail40@college.edu,87,AI
Haley Jackson,CE,9,9832666377,haley30@college.edu,63,IoT
Mr. Ian Castro,CE,8,8020496326,mr.16@college.edu,51,Cybersecurity
Noah Lara,CSE,9,6455283396,noah29@college.edu,65,Data Science
Robin Hopkins,ECE,7,8723172434,robin88@college.edu,59,Data Science
Brittney Santiago,ECE,7,7784295832,brittney30@college.edu,89,Cybersecurity
Kaitlyn Green,CSE,8,8860282685,kaitlyn92@college.edu,51,Cloud Computing
Eric Myers,IT,8,8259512332,eric89@college.edu,95,Cybersecurity
Joseph Navarro,ECE,9,6842195703,joseph31@college.edu,67,Cloud Computing
Diane Dawson,CE,8,9320247021,diane12@college.edu,95,ML
Kiara Williams,CE,10,6746705513,kiara21@college.edu,59,AI
Teresa Webb,IT,10,8778098112,teresa17@college.edu,96,Cloud Computing
Andrew Wu,ME,8,7774558741,andrew27@college.edu,53,Data Science
Michael Wilkinson,IT,10,7029678653,michael86@college.edu,54,ML
Michael Smith,IT,6,6856579662,michael84@college.edu,69,Data Science
Michael Farrell,CE,8,6658595956,michael13@college.edu,60,AI
Paul Mckinney,CE,10,6136005959,paul30@college.edu,78,AI
Brian Glenn,ECE,7,9965083232,brian72@college.edu,89,ML
Lisa Robles,CSE,8,9631142747,lisa71@college.edu,74,Cloud Computing
Nancy Fritz,ECE,6,9486027169,nancy85@college.edu,57,AI
Amy Matthews,ECE,10,7514129350,amy72@college.edu,78,Data Science
David Jones,CE,6,7140045796,david78@college.edu,94,AI
Ashley Jones,ME,9,6964626830,ashley50@college.edu,93,IoT
Michael Elliott,CSE,9,8814230485,michael79@college.edu,53,Cloud Computing
Alicia Li,CE,9,9809515099,alicia40@college.edu,91,IoT
Jeffrey Fuller,CE,6,9135744933,jeffrey91@college.edu,77,IoT
Devin Reed,ME,9,7910582489,devin32@college.edu,72,Data Science
Christina Todd,IT,7,7809958505,christina57@college.edu,78,Data Science
Krista Kennedy,ECE,9,7040144326,krista58@college.edu,69,IoT
Kevin Christensen,ME,7,9978723653,kevin18@college.edu,94,Cloud Computing
Brandy Sweeney,IT,9,7561979389,brandy15@college.edu,68,IoT
Cody Henderson,ME,8,6536752657,cody50@college.edu,68,Cloud Computing
Monica Henry,IT,9,6405387221,monica34@college.edu,66,Data Science
John Johnston,IT,10,9687171220,john33@college.edu,73,Data Science
Mrs. Angela Anderson,IT,8,7392157230,mrs.78@college.edu,82,Data Science
Danielle May,ME,10,8608691643,danielle27@college.edu,63,AI
Robert Vega,CE,7,9672857815,robert65@college.edu,54,Cloud Computing
Laura Brandt,IT,8,7999213761,laura53@college.edu,96,ML
Rick Wang,IT,10,6245855073,rick70@college.edu,80,AI
Thomas Ayers,CE,9,6855270467,thomas91@college.edu,61,Data Science
Madison York,ECE,9,8533236044,madison73@college.edu,89,Cloud Computing
Matthew Sanders,CE,7,9971735083,matthew95@college.edu,68,Data Science
Lisa Frey,IT,10,6816538127,lisa94@college.edu,86,Cybersecurity
Yolanda Walker,ME,10,8912220860,yolanda17@college.edu,90,ML
Kenneth White,ME,6,7696391910,kenneth32@college.edu,54,Cybersecurity
James Fischer,CE,6,7147864422,james20@college.edu,99,Cloud Computing
Tina Aguirre,CE,8,8498187389,tina17@college.edu,97,Cybersecurity
Lisa Davis,ME,10,8622907414,lisa27@college.edu,98,AI
Thomas Wu,ME,10,7607528265,thomas99@college.edu,80,IoT
Christine Smith,IT,8,8410223935,christine62@college.edu,71,AI
Sarah Macdonald,ME,9,6444921412,sarah65@college.edu,59,ML
Alejandro Friedman Jr.,ECE,9,6278687749,alejandro40@college.edu,79,ML
Christine Perry,CE,9,9122502753,christine23@college.edu,51,AI
